Date,Close
10/11/2020,"11,350"
10/12/2020,"11,564"
10/13/2020,"11,437"
10/14/2020,"11,396"
10/15/2020,"11,544"
10/16/2020,"11,314"
10/17/2020,"11,356"
10/18/2020,"11,447"
10/19/2020,"11,732"
10/20/2020,"11,904"
10/21/2020,"12,853"
10/22/2020,"13,128"
10/23/2020,"12,941"
10/24/2020,"13,103"
10/25/2020,"13,040"
10/26/2020,"13,025"
10/27/2020,"13,632"
10/28/2020,"13,208"
10/29/2020,"13,482"
10/30/2020,"13,644"
10/31/2020,"13,841"
11/1/2020,"13,816"
11/2/2020,"13,622"
11/3/2020,"13,733"
11/4/2020,"14,002"
11/5/2020,"15,244"
11/6/2020,"15,561"
11/7/2020,"14,846"
11/8/2020,"15,347"
11/9/2020,"15,392"
11/10/2020,"15,393"
11/11/2020,"15,799"
11/12/2020,"16,150"
11/13/2020,"16,287"
11/14/2020,"15,997"
11/15/2020,"15,865"
11/16/2020,"16,717"
11/17/2020,"17,627"
11/18/2020,"17,781"
11/19/2020,"17,939"
11/20/2020,"18,586"
11/21/2020,"18,638"
11/22/2020,"18,585"
11/23/2020,"18,426"
11/24/2020,"18,938"
11/25/2020,"18,846"
11/26/2020,"17,122"
11/27/2020,"17,037"
11/28/2020,"17,764"
11/29/2020,"18,267"
11/30/2020,"19,376"
12/1/2020,"19,089"
12/2/2020,"19,161"
12/3/2020,"19,465"
12/4/2020,"18,833"
12/5/2020,"19,019"
12/6/2020,"19,246"
12/7/2020,"19,087"
12/8/2020,"18,784"
12/9/2020,"18,550"
12/10/2020,"18,352"
12/11/2020,"18,106"
12/12/2020,"18,794"
12/13/2020,"19,182"
12/14/2020,"19,201"
12/15/2020,"19,431"
12/16/2020,"21,240"
12/17/2020,"22,767"
12/18/2020,"22,911"
12/19/2020,"24,004"
12/20/2020,"23,494"
12/21/2020,"23,146"
12/22/2020,"23,434"
12/23/2020,"23,299"
12/24/2020,"23,384"
12/25/2020,"24,409"
12/26/2020,"26,648"
12/27/2020,"26,303"
12/28/2020,"26,634"
12/29/2020,"26,870"
12/30/2020,"28,896"
12/31/2020,"28,966"
1/1/2021,"29,259"
1/2/2021,"31,690"
1/3/2021,"33,581"
1/4/2021,"31,027"
1/5/2021,"33,788"
1/6/2021,"35,848"
1/7/2021,"39,596"
1/8/2021,"39,927"
1/9/2021,"40,769"
1/10/2021,"37,984"
1/11/2021,"34,184"
1/12/2021,"34,766"
1/13/2021,"37,248"
1/14/2021,"38,863"
1/15/2021,"36,324"
1/16/2021,"35,785"
1/17/2021,"36,530"
1/18/2021,"36,255"
1/19/2021,"36,494"
1/20/2021,"34,892"
1/21/2021,"31,275"
1/22/2021,"33,375"
1/23/2021,"32,340"
1/24/2021,"31,934"
1/25/2021,"32,643"
1/26/2021,"31,993"
1/27/2021,"31,030"
1/28/2021,"33,274"
1/29/2021,"34,715"
1/30/2021,"34,649"
1/31/2021,"32,626"
2/1/2021,"33,667"
2/2/2021,"35,686"
2/3/2021,"37,284"
2/4/2021,"37,712"
2/5/2021,"37,853"
2/6/2021,"40,103"
2/7/2021,"38,610"
2/8/2021,"44,797"
2/9/2021,"47,357"
2/10/2021,"45,039"
2/11/2021,"46,943"
2/12/2021,"47,853"
2/13/2021,"47,210"
2/14/2021,"48,921"
2/15/2021,"48,183"
2/16/2021,"48,642"
2/17/2021,"52,333"
2/18/2021,"52,059"
2/19/2021,"55,493"
2/20/2021,"56,501"
2/21/2021,"57,332"
2/22/2021,"54,919"
2/23/2021,"48,016"
2/24/2021,"48,720"
2/25/2021,"48,199"
2/26/2021,"45,621"
2/27/2021,"46,844"
2/28/2021,"45,255"
3/1/2021,"48,844"
3/2/2021,"47,477"
3/3/2021,"50,952"
3/4/2021,"47,924"
3/5/2021,"49,138"
3/6/2021,"48,583"
3/7/2021,"50,104"
3/8/2021,"51,896"
3/9/2021,"54,313"
3/10/2021,"56,932"
3/11/2021,"57,721"
3/12/2021,"56,981"
3/13/2021,"61,002"
3/14/2021,"60,173"
3/15/2021,"56,398"
3/16/2021,"56,379"
3/17/2021,"57,834"
3/18/2021,"57,533"
3/19/2021,"58,426"
3/20/2021,"58,466"
3/21/2021,"57,792"
3/22/2021,"54,610"
3/23/2021,"54,346"
3/24/2021,"54,175"
3/25/2021,"51,989"
3/26/2021,"54,014"
3/27/2021,"55,916"
3/28/2021,"54,863"
3/29/2021,"57,176"
3/30/2021,"58,671"
3/31/2021,"58,932"
4/1/2021,"58,855"
4/2/2021,"58,655"
4/3/2021,"58,063"
4/4/2021,"58,030"
4/5/2021,"58,810"
4/6/2021,"58,244"
4/7/2021,"56,157"
4/8/2021,"57,681"
4/9/2021,"58,354"
4/10/2021,"58,621"
4/11/2021,"59,607"
4/12/2021,"60,011"
4/13/2021,"63,196"
4/14/2021,"62,357"
4/15/2021,"63,381"
4/16/2021,"61,962"
4/17/2021,"60,843"
4/18/2021,"56,239"
4/19/2021,"56,175"
4/20/2021,"56,852"
4/21/2021,"55,029"
4/22/2021,"51,843"
4/23/2021,"50,620"
4/24/2021,"50,955"
4/25/2021,"48,075"
4/26/2021,"53,297"
4/27/2021,"55,067"
4/28/2021,"54,456"
4/29/2021,"53,006"
4/30/2021,"56,803"
5/1/2021,"57,700"
5/2/2021,"57,016"
5/3/2021,"56,826"
5/4/2021,"54,842"
5/5/2021,"56,854"
5/6/2021,"55,987"
5/7/2021,"57,699"
5/8/2021,"59,014"
5/9/2021,"57,982"
5/10/2021,"55,328"
5/11/2021,"56,942"
5/12/2021,"54,540"
5/13/2021,"49,253"
5/14/2021,"49,351"
5/15/2021,"48,255"
5/16/2021,"44,062"
5/17/2021,"44,843"
5/18/2021,"43,318"
5/19/2021,"38,390"
5/20/2021,"40,108"
5/21/2021,"35,263"
5/22/2021,"38,086"
5/23/2021,"33,791"
5/24/2021,"38,999"
5/25/2021,"37,656"
5/26/2021,"38,731"
5/27/2021,"38,476"
5/28/2021,"35,245"
5/29/2021,"34,266"
5/30/2021,"36,115"
5/31/2021,"36,677"
6/1/2021,"36,330"
6/2/2021,"37,739"
6/3/2021,"38,693"
6/4/2021,"37,071"
6/5/2021,"35,826"
6/6/2021,"35,897"
6/7/2021,"34,471"
6/8/2021,"33,638"
6/9/2021,"36,406"
6/10/2021,"36,410"
6/11/2021,"37,331"
6/12/2021,"36,041"
6/13/2021,"38,830"
6/14/2021,"39,809"
6/15/2021,"39,949"
6/16/2021,"38,550"
6/17/2021,"37,752"
6/18/2021,"35,493"
6/19/2021,"36,193"
6/20/2021,"35,853"
6/21/2021,"32,622"
6/22/2021,"32,895"
6/23/2021,"33,066"
6/24/2021,"34,857"
6/25/2021,"32,212"
6/26/2021,"31,329"
6/27/2021,"32,648"
6/28/2021,"34,721"
6/29/2021,"36,156"
6/30/2021,"34,585"
7/1/2021,"33,411"
7/2/2021,"33,124"
7/3/2021,"34,715"
7/4/2021,"35,542"
7/5/2021,"33,847"
7/6/2021,"33,941"
7/7/2021,"34,550"
7/8/2021,"32,788"
7/9/2021,"33,508"
7/10/2021,"33,329"
7/11/2021,"33,859"
7/12/2021,"32,833"
7/13/2021,"32,519"
7/14/2021,"32,811"
7/15/2021,"31,748"
7/16/2021,"31,850"
7/17/2021,"31,755"
7/18/2021,"31,663"
7/19/2021,"30,793"
7/20/2021,"29,864"
7/21/2021,"31,864"
7/22/2021,"32,257"
7/23/2021,"32,477"
7/24/2021,"33,919"
7/25/2021,"34,481"
7/26/2021,"37,598"
7/27/2021,"38,000"
7/28/2021,"40,068"
7/29/2021,"39,722"
7/30/2021,"40,860"
7/31/2021,"41,516"
8/1/2021,"41,310"
8/2/2021,"38,857"
8/3/2021,"38,113"
8/4/2021,"39,706"
8/5/2021,"40,908"
8/6/2021,"42,673"
8/7/2021,"43,945"
8/8/2021,"43,855"
8/9/2021,"45,482"
8/10/2021,"45,627"
8/11/2021,"46,340"
8/12/2021,"44,440"
8/13/2021,"47,545"
8/14/2021,"46,665"
8/15/2021,"46,750"
8/16/2021,"46,065"
8/17/2021,"45,017"
8/18/2021,"44,593"
8/19/2021,"46,568"
8/20/2021,"48,653"
8/21/2021,"48,988"
8/22/2021,"48,425"
8/23/2021,"49,509"
8/24/2021,"48,364"
8/25/2021,"48,748"
8/26/2021,"47,048"
8/27/2021,"48,946"
8/28/2021,"48,760"
8/29/2021,"48,897"
8/30/2021,"48,670"
8/31/2021,"46,996"
9/1/2021,"48,279"
9/2/2021,"49,556"
9/3/2021,"50,184"
9/4/2021,"50,195"
9/5/2021,"51,652"
9/6/2021,"51,930"
9/7/2021,"46,777"
9/8/2021,"46,154"
9/9/2021,"46,268"
9/10/2021,"45,094"
9/11/2021,"45,333"
9/12/2021,"45,023"
9/13/2021,"45,144"
9/14/2021,"46,828"
9/15/2021,"47,948"
9/16/2021,"47,102"
9/17/2021,"47,028"
9/18/2021,"48,008"
9/19/2021,"47,588"
9/20/2021,"43,489"
9/21/2021,"40,971"
9/22/2021,"43,445"
9/23/2021,"44,679"
9/24/2021,"43,001"
9/25/2021,"42,719"
9/26/2021,"43,607"
9/27/2021,"42,696"
9/28/2021,"41,792"
9/29/2021,"41,114"
9/30/2021,"43,432"
10/1/2021,"48,110"
10/2/2021,"48,045"
10/3/2021,"48,552"
10/4/2021,"49,016"
10/5/2021,"51,378"
10/6/2021,"54,903"
10/7/2021,"54,205"
10/8/2021,"53,951"
10/9/2021,"54,651"
10/10/2021,"55,425"
10/11/2021,"57,390"
